Portfolio,Total Return,CAGR,Annualised Volatility,Sharpe Ratio (Rf = 0%),Maximum Drawdown,Total Turnover,Cumulative Transaction Cost
TSM baseline,-0.02169155061200001,-0.0031315383623659043,0.13016817657329385,0.041130237306633365,-0.2906194347672264,20.6,0.0103
Equal-weight long-only,0.31018630258017765,0.03939564043933785,0.10023807469561542,0.43558987137573574,-0.24395262269517215,1.0,0.0005
SPY buy-and-hold,0.8573896868954027,0.09259276936436955,0.225324133536335,0.5055393668500546,-0.4716522695710115,1.0,0.0005
